Peak Date,Track,With,Streams,Global,US,GB,CA,AU,DE,SE,DK,NO,NL,FR,NZ,IE,IT,BR,PL,ES,MX,PH,CH,BE,FI,PT,TR,SG,AT,AR,IS,MY,HU,CZ,CL,TW,GR,CO,HK,ID,RO,LV,IL,SK,LT,CR,JP,EE,BG,PE,IN,TH,DO,EC,PA,MT,LU,GT,HN,PY,UY,VN,BO,CY,SV,NI
20140202,Thank You,"Busta Rhymes, Q-Tip, Lil Wayne","353,711",--,--,38,--,45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20201023,Track 6,"Ty Dolla $ign, Anderson .Paak, Thundercat","318,652",--,116,--,144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20201127,Smack DVD,SAINt JHN,"298,691",--,157,--,103,--,--,--,--,98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20201120,Nah Nah Nah,"DaBaby, 2 Chainz","297,489",--,169,--,163,--,--,--,--,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20191204,No Church In The Wild,"JAY Z, Frank Ocean, The-Dream","283,962",--,--,179,--,--,--,--,--,--,--,--,--,50,147,--,--,--,--,--,--,--,--,--,--,--,--,--,102,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20151218,M.P.A.,"Pusha T, A$AP Rocky, The-Dream","243,480",--,141,--,192,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20171110,Good Life,T-Pain,"226,040",--,--,127,--,107,--,--,--,--,--,--,--,130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150904,Piss On Your Grave,Travis Scott,"221,159",--,117,--,178,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20130623,I Am A God,God,"173,405",--,--,41,--,26,--,--,--,--,--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20141225,Christmas In Harlem,"CyHi The Prynce, Teyana Taylor","142,156",--,176,--,188,--,--,--,--,--,183,--,--,--,--,--,--,--,--,--,144,156,--,--,--,177,--,--,--,--,153,--,--,114,--,--,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160623,Saint Pablo,,"122,352",--,187,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20141125,Drunk in Love Remix,"Beyoncé, JAY Z","83,609",--,162,190,--,--,--,--,--,--,--,--,--,--,--,162,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150427,SMUCKERS,"Tyler, The Creator, Lil Wayne","79,517",--,236,--,233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,247,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20200315,Runaway,Pusha T,"79,282",--,--,--,--,114,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160421,Monster,"JAY Z, Rick Ross, Nicki Minaj, Bon Iver","74,224",--,--,130,--,--,--,--,--,--,--,--,--,103,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150425,Blessings - Extended Version,"Big Sean, Drake","68,847",--,248,--,--,--,--,--,--,--,--,--,--,--,--,--,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20200511,All Of The Lights,,"52,403",--,--,189,--,125,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20151022,Run This Town,"JAY Z, Rihanna","34,473",--,--,--,--,104,--,--,--,--,--,--,198,--,--,164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20151119,All Falls Down,Syleena Johnson,"28,236",--,--,156,250,--,--,--,--,--,--,--,--,164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20190906,Take Me to the Light,"Francis and the Lights, Bon Iver","23,870",--,--,--,--,--,--,180,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150505,U Mad,Vic Mensa,"17,937",--,--,--,186,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20151016,Homecoming,Chris Martin,"13,575",--,--,--,--,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20170331,Love Yourself,Mary J. Blige,"13,566",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,178,--,--,--,--,--,--,--,--,--,--,--,--,--,153,--,--,--,--,--,--,--,--,--,--,--,--,--,163,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20191204,Otis,"JAY Z, Otis Redding","11,037",--,--,--,--,--,--,--,--,--,--,--,--,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160428,Flashing Lights,,"8,708",--,--,--,--,190,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20191205,Why I Love You,"JAY Z, Mr Hudson","1,266",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
