Peak Date,Track,With,Streams,Global,US,GB,CA,AU,DE,SE,DK,NO,NL,FR,NZ,IE,IT,BR,PL,ES,MX,PH,CH,BE,FI,PT,TR,SG,AT,AR,IS,MY,HU,CZ,CL,TW,GR,CO,HK,ID,RO,LV,IL,SK,LT,CR,JP,EE,BG,PE,IN,TH,DO,EC,PA,MT,LU,GT,HN,PY,UY,VN,BO,CY,SV,NI
20200703,Ego Death,"Ty Dolla $ign, FKA twigs, Skrillex","35,985,715",86,84,41,38,65,91,51,97,62,174,--,68,68,--,--,--,--,--,--,109,155,96,154,--,--,135,--,104,--,97,187,--,--,187,--,--,--,97,49,150,131,56,--,--,53,47,--,--,--,--,--,--,--,113,--,--,--,--,--,--,91,--,--
20150306,All Day,"Theophilus London, Allan Kingdom, Paul McCartney","32,333,376",47,19,26,16,63,65,130,37,67,98,82,65,50,160,277,86,--,--,223,76,110,148,117,54,166,91,--,23,44,92,116,--,141,94,--,147,--,--,78,--,62,89,--,--,117,46,--,--,--,--,--,188,--,--,--,--,--,--,--,--,--,--,--
20160406,Ultralight Beam,,"31,291,008",49,19,52,44,56,130,124,85,112,141,198,55,57,106,--,167,199,--,174,90,140,188,106,--,129,137,--,28,155,178,--,--,--,157,--,185,119,--,110,--,117,109,--,--,100,119,--,--,--,--,--,--,146,93,--,--,--,--,--,--,--,--,--
20180602,Violent Crimes,,"28,054,448",20,9,21,12,23,126,89,44,52,75,106,24,30,--,--,84,--,--,--,59,42,173,46,--,153,92,--,12,166,63,69,--,--,36,--,86,--,38,20,57,33,22,--,118,29,24,--,--,--,142,--,--,50,41,--,--,--,--,--,--,48,--,--
20180602,Wouldn't Leave,PARTYNEXTDOOR,"27,239,514",16,6,15,8,18,112,69,37,48,70,100,19,25,194,--,65,--,--,180,56,37,161,34,--,135,77,--,11,157,56,59,--,--,31,--,80,--,23,21,49,18,23,--,163,28,14,--,--,--,129,--,--,43,31,--,--,--,--,--,--,42,--,--
20191026,On God,,"25,931,521",14,5,32,7,28,135,76,24,47,91,109,33,41,150,--,80,--,--,140,45,56,118,57,--,160,112,--,11,92,56,94,--,--,50,--,101,--,42,18,76,37,33,187,193,27,23,--,--,--,166,--,--,31,76,--,--,--,--,--,--,57,--,--
20191026,Closed On Sunday,,"25,928,624",12,4,28,10,27,137,68,21,48,94,107,29,35,149,200,62,--,--,133,47,58,125,54,--,174,109,--,13,95,44,81,--,--,48,--,132,--,31,12,80,24,30,180,--,23,17,--,--,--,141,--,--,26,78,--,--,--,--,--,--,40,--,--
20191025,Selah,,"24,624,975",16,7,27,11,22,151,66,18,43,93,99,25,36,139,148,78,--,--,125,49,57,120,58,--,156,121,--,10,87,48,93,--,--,75,--,144,--,51,19,89,42,34,162,200,30,34,--,--,--,123,--,--,34,85,--,--,--,--,--,--,68,--,--
20180602,I Thought About Killing You,,"24,063,829",18,8,18,11,24,114,85,47,55,73,88,25,28,171,--,64,--,--,193,55,35,159,33,194,137,81,--,14,145,52,52,--,178,25,--,78,--,17,19,47,23,20,171,136,27,11,--,--,192,111,--,--,45,35,--,--,--,--,--,--,44,--,--
20150213,Only One,Paul McCartney,"23,556,930",45,41,54,34,34,125,78,20,57,64,110,33,56,93,75,73,122,123,21,64,85,117,58,62,31,101,161,15,27,36,31,140,29,46,112,26,--,--,20,--,29,22,129,--,35,28,172,--,--,67,121,64,21,30,101,71,66,90,--,69,--,83,--
